id,sla,overdue,x,y,type
101000879701,10.0,-8.98,3105443.57,13832598.28,3.0
11682872-101001143202,14.0,-7.79,3047695.62,13826869.96,3.0
101001090815,10.0,-8.59,3078170.34,13820368.28,3.0
11594791-101000891316,15.0,-14.89,3041615.31,13820936.9,3.0
101001002655,4.0,4.57,3041051.24,13824386.21,3.0
101000980826,24.0,-12.9,3112785.87,13849102.64,3.0
101000912594,7.0,-3.66,3079573.38,13805172.56,3.0
101001133854,10.0,-27.26,3130796.07,13808754.03,3.0
276924-101001013717,180.0,-76.86,3160516.46,13940507.68,3.0
101001030072,4.0,-3.75,3135099.77,13849774.11,3.0
11659893-101001081222,15.0,-14.43,3078357.79,13884740.0,3.0
270218-101000876521,176.0,-101.94,3070077.68,13826058.03,3.0
101000886701,4.0,-1.99,3084411.98,13781576.54,3.0
11693349-101001172201,15.0,-14.94,3067150.39245,13845823.28096,3.0
101001146333,12.0,-4.91,3079507.91,13799748.53,3.0
101001202220,7.0,-179.99,3167046.11589,13848462.988940002,3.0
101001042983,4.0,-1.95,3109906.76,13834075.18,3.0
101000941678,24.0,69.99,3055752.09,13800684.1,3.0
18956-101001131367,1.0,-2.98,3066515.04428,13835604.175859997,2.0
12220-101001017615,1.0,-2.82,3109134.70529,13835823.53047,2.0
101000875804,10.0,-8.83,3105891.32,13793539.24,3.0
101000952271,4.0,-3.3,3095230.81,13804876.86,3.0
101001043862,7.0,-180.0,3047507.58,13810687.04,3.0
910691-101001183564,14.0,-7.85,3111870.68665,13821628.13625,2.0
11602994-101000910576,2.0,-1.13,3043937.8,13829282.8,3.0
11599666-101000902136,40.0,-31.36,3107962.81,13829896.8,3.0
11635372-101001004425,1.0,-0.71,3122663.5,13847818.34,3.0
101001068118,10.0,-6.09,3100930.08,13846322.47,3.0
11645404-101001039020,14.0,-13.47,3043963.93,13815785.63,3.0
10844-101000994381,4.0,0.57,3146281.95904,13813679.042979997,2.0
101001221793,10.0,-9.8,3167224.95116,13799319.30803,3.0
11616076-101000946949,2.0,-1.9,3127789.93,13807655.78,3.0
101000952148,21.0,-16.3,3131317.52,13877346.93,3.0
11677684-101001129521,14.0,-12.82,3141339.23,13878171.79,3.0
11598785-101000899743,15.0,-14.95,3130613.11,13840082.5,3.0
101001179055,7.0,3.73,3125183.03131,13838632.80683,3.0
0-101001098519,180.0,-115.98,3050449.33,13814180.25,3.0
101001113662,4.0,-2.89,3078151.56,13820232.34,3.0
101001036446,21.0,-11.01,3113769.22,13834246.31,3.0
11710706-101001218499,14.0,-13.57,3045255.9264,13826499.009900002,3.0
101000957498,10.0,-9.85,3165524.28,13798242.0,3.0
11643521-101001032660,35.0,-33.73,3095992.09,13776698.11,3.0
101001038639,10.0,-7.92,3102759.53,13868039.6,3.0
101001020387,10.0,0.8,3092437.24,13777335.92,3.0
775213-101000903355,14.0,-5.09,3106105.48,13844128.05,3.0
101001075283,7.0,-4.63,3124281.36,13827218.33,3.0
872362-101001122424,14.0,3.09,3154688.18,13818882.22,3.0
11674011-101001119683,40.0,-38.09,3047568.2,13841360.29,3.0
0-101000948929,180.0,-32.71,3141593.25,13877768.01,3.0
284085-101001088032,25.0,17.17,3124266.25,13854809.62,3.0
0-101000984637,180.0,-69.96,3116210.75,13851009.05,3.0
101001058168,12.0,0.1,3124496.68,13859293.96,3.0
11703371-101001199492,2.0,-1.78,3043863.68017,13838903.59763,3.0
278506-101001015277,180.0,241.35,3130276.0,13804348.37,3.0
101000881115,14.0,0.75,3095303.28,13872821.71,3.0
11669809-101001107936,15.0,-14.91,3087940.75,13830806.67,3.0
101000939594,6.0,-0.94,3079697.45,13803977.26,3.0
0-101001175208,180.0,-163.02,3137937.15967,13858711.048499998,3.0
11677830-101001129953,21.0,-19.14,3138276.89,13835753.45,3.0
101000985963,4.0,-0.7,3130130.19,13852346.64,3.0
101001187259,10.0,-3.77,3075592.06619,13774194.898300003,3.0
11667631-101001101774,18.0,-8.68,3129526.11186,13812404.15751,3.0
11672138-101001114184,14.0,-13.92,3156820.38,13836916.72,3.0
101001215533,7.0,-179.99,3085120.77416,13810586.03517,3.0
11680504-101001136657,30.0,-29.32,3071619.8,13825419.58,3.0
11652153-101001058320,20.0,-19.22,3049850.5,13808251.9,3.0
11604497-101000914383,14.0,-13.12,3064984.18,13854751.44,3.0
11665384-101001095518,2.0,-2.0,3054896.26,13813890.32,3.0
11641860-101001026753,2.0,-1.12,3087442.86,13909028.8,3.0
101001209520,12.0,-4.36,3104306.5501,13849336.36875,3.0
11628630-101000984916,15.0,-14.96,3110912.57,13807355.31,3.0
11664553-101001093189,1.0,-0.88,3095262.52,13831113.35,3.0
11645575-101001039670,2.0,-1.93,3078509.67,13887085.42,3.0
0-101000971393,180.0,-55.7,3121298.66,13857200.77,3.0
